review_id,beer_id,username,score
1,271781,bluejacket74,4.03
2,125646,_dirty_,4.5
3,125646,CJDUBYA,4.75
4,125646,GratefulBeerGuy,4.58
5,125646,LukeGude,4.31
6,125646,jneff33,4.91
7,125646,yummybeer,4.69
8,125646,MFMB,4.52
9,125646,wwoj,4.59
10,125646,Rubenjr,4.54
11,125646,jshusc,4.56
12,125646,wfreitag,4.75
13,125646,RollTide7,4.65
14,125646,jngrizzaffi,4.53
15,125646,MBruckerATC,5
16,125646,PDOR1960,4.5
17,125646,hankf44,4.78
18,125646,JNickerson12,5
19,125646,Chackman151,5
20,125646,Lucular,4.25
21,125646,ColForbinBC,4.38
22,125646,atomicnemesis,4.31
23,125646,Mattybuchs,5
24,125646,goblue30,4.5
25,125646,Lcoblentz,4.77
26,125646,ekobrien,4.5
27,205644,West_Chester_Ale_Tester,3.88
28,205644,SMH_NWI,3.7
29,205644,Brutaltruth,3.92
30,205644,SaisonRichBiere,3.65
31,205644,Bdel34,3.52
32,205644,ffshore545,3.75
33,205644,secondtooth,4.07
34,205644,izzyismyrott,3.52
35,125646,Beer-Ed,4.5
36,125646,SoniaB,4.46
37,150672,Derek,4.22
38,150672,byronic,3.75
39,150672,Beervana,3.79
40,150672,Coronaeus,4.04
41,150672,jcubz,3.65
42,150672,PJT,4.31
43,150672,Mlkluther,4.04
44,150672,wanderingspirit,4.34
45,150672,Phyl21ca,3.75
46,150672,yancot,3.69
47,150672,mistahmojoryan,3.94
48,150672,Long813,3.92
49,150672,Sathanas,4.56
50,150672,Rempeba,3.5
51,150672,KingHoppy,4.28
52,150672,Corson,3.75
53,150672,Slongie,2.62
54,150672,Bunman3,4.1
55,150672,adacovsk,4.33
56,150672,Idrankthat,4.21
57,150672,sasky7777,4.29
58,235178,Bryan12345,4.25
59,150672,Saskadan,3.94
60,150672,biboergosum,3.97
61,311190,vfgccp,2.47
62,311190,NolaHopHead,3.61
63,311190,Rub_This_BBQ,3.68
64,311190,BigMike,3.75
65,311190,Hopfenpeter,3.75
66,125646,bhatch729,4.5
67,125646,Bum4ever,4.55
68,125646,Hudson2508,4.55
69,125646,mthomp081,5
70,104824,Fcolle2,4.57
71,104824,Reagan1984,4.5
72,104824,Chibeerguy1,4.75
73,104824,AaronBurr,4
74,104824,kevanb,4.45
75,104824,dfhhead25,3.5
76,104824,WillCarrera,4.25
77,104824,MarkyMOD,4.5
78,104824,Kevinpitts,5
79,104824,blue-dream,4.75
80,104824,cjgator3,5
81,104824,Fusebuddy,4.25
82,104824,1noa,4.5
83,104824,PHKrames,4.5
84,104824,Stoutfan23DJ,4.75
85,74580,EDAPOE51,3.75
86,74580,Aisha,3.75
87,74580,icehawk,3.5
88,74580,mpayne5,3.5
89,74580,drummermattie02,2.5
90,74580,freewill35,3.75
91,74580,mrfrancis,3.75
92,74580,ajs4bd,3.25
93,74580,rmehughes,4
94,74580,BTFU,4
95,74580,speedvagen,4.25
96,74580,secondtooth,3.2
97,74580,MSandahl23,3.75
98,74580,AmitC,4
99,74580,jmarsh123,3.75
100,74580,Pillowburn,2.5
101,74580,LarBob1969,4.5
102,74580,Keener,3.75
103,74580,psmith161,3
104,74580,noblittjared,4.25
105,74580,FalconA,3.5
106,74580,denimdemon,3.75
107,74580,Rempo,3
108,74580,grogged,2.43
109,74580,aasher,3.58
110,58482,Imstillthegman,3.98
111,205644,Jaypeajus,3.66
112,205644,JNForsyth,3.85
113,205644,shirtless_mike,3.5
114,205644,frekky,3.71
115,205644,Jakethesnake503,4.02
116,205644,dexterk1,3.99
117,205644,Discos2,4.6
118,205644,richj1970,3.88
119,205644,Zuidman,3.99
120,205644,egrace84,3.84
121,205644,Duff27,3.69
122,206623,GRG1313,4
123,206623,rodbeermunch,4.02
124,206623,ivegot3Dvision,3.99
125,206623,brotherloco,3.52
126,206623,deford,2.97
127,174137,Gerred,3.5
128,174137,JerzDevl2000,3.92
129,174137,Timtac,3.65
130,174137,Ultimate,4.12
131,174137,LTreezly,3.84
132,174137,zekeman17,4
133,174137,rfgetz,3.95
134,174137,LoveStout,3.5
135,174137,acurtis,3.56
136,174137,devilfluff,4
137,174137,ShemRahBoo,3.56
138,174137,InspectorBob,3.94
139,96331,dirtylou,3.94
140,125646,franman,4.67
141,125646,Mfdsr1,4.65
142,125646,allrecreational,4.58
143,125646,jstilwell,4.65
144,125646,moysauce,4.66
145,58482,Kadonny,4.1
146,58482,Sammy,3.42
147,58482,Lexluthor33,3.88
148,58482,jamie2dope,3.85
149,58482,dogfishandi,3.8
150,58482,DanielClouser,3.3
151,58482,Patrick999,4.04
152,58482,JohnQVegas,3.92
153,58482,wiseguy142,3.05
154,58482,hosehead83,3.8
155,58482,TurtleCove,4.42
156,58482,callmemickey,3.65
157,58482,techcommdood,3.52
158,58482,ToddT,3.38
159,58482,maximum12,3.95
160,58482,Nickls,3.78
161,58482,cjgator3,3.88
162,58482,cvstrickland,4.07
163,58482,LilBeerDoctor,3.41
164,58482,jsanto,4.03
165,58482,Casey10,4.42
166,125646,TomWight,4.74
167,125646,deonreds,4.4
168,256526,SmithyAlan,3.02
169,58482,koopa,4.15
170,58482,Slatetank,3.45
171,58482,Pencible,3.88
172,200826,ShanePB,3.55
173,200826,DrBier,4.34
174,74580,tsauce2,3.85
175,74580,smchenry75,5
176,74580,JamesS,3.91
177,259020,tvenne,4
178,259020,AdmiralOzone,3.57
179,259020,Czequershuus,3.22
180,259020,evanschaaf,4.28
181,259020,pat61,3.95
182,259020,moundbz,3.97
183,259020,Nolster,3.5
184,259020,MrUse,3.71
185,259020,NilocRellim,3.91
186,104824,EgadBananas,4.5
187,104824,cfaulman,4.5
188,104824,Loogs,4.5
189,104824,MNPikey,5
190,104824,iL0VEbeer,4.75
191,104824,vitters03,4.5
192,104824,BullBearHawk,4.5
193,104824,kustard,4.5
194,104824,NHhomebrewguy,4.75
195,104824,XmnwildX12,4.75
196,104824,Brewski,4.25
197,104824,ygtbsm94,4.25
198,104824,Jd2391,4.5
199,104824,DIPAFAN,4.5
200,125646,scelia1412,4.6
201,125646,Vidblain,4.75
202,311190,woodychandler,4.09
203,311190,BubbleBobble,3.37
204,311190,sgregory,4
205,311190,argock,3.69
206,311190,Knapp85,3.61
207,311190,TheGent,3.32
208,311190,Benish,3.94
209,311190,RobinLee,4.23
210,311190,TheTinDoor,4.31
211,311190,_Adam_,4.08
212,311190,DanGeo,3.8
213,311190,sisterofba,3.67
214,311190,petewheeler,3.75
215,311190,wattie83,4.04
216,311190,metter98,3.92
217,311190,DrBier,3.71
218,311190,Schmaltz33,3.75
219,311190,Dragginballs76,3.57
220,311190,tobelerone,3.73
221,311190,Bad_Attitude_Brews,2.22
222,252747,SenseiCaco,3.7
223,252747,SirDirtJoe,3.85
224,324898,BdM,3.25
225,324898,jroof1,3.79
226,324898,Hayley_86,3.75
227,311190,LeftHanded666,4.1
228,311190,dbrauneis,4.07
229,311190,dvmin98,4.02
230,292184,Adamostella,4
231,292184,DamienI,3.75
232,367057,REVZEB,3.87
233,102738,mrleebob,3.25
234,102738,wl0307,3.75
235,203086,kjkinsey,3.25
236,203086,Dface,2.75
237,203086,zbooks,3
238,203086,NeverSettle,2.83
239,104824,KFBR392,4.46
240,104824,Tanger112,4.5
241,104824,sbxx,2.58
242,104824,Carloco,5
243,104824,SaxmanRick,4.59
244,104824,ethanmc12,4.5
245,104824,sahd-1,4.5
246,104824,Ristaccia,4.5
247,104824,BDeibs,4.25
248,104824,prtwin2a,4.75
249,104824,PopnLoads,4
250,92616,pm5k00,3.66
251,92616,DrinkThemAll,3.28
252,92616,TheRougeBastard,3.95
253,92616,GRG1313,3.78
254,92616,DrJones,4
255,92616,johlac66,3.52
256,92616,AMCimpi,3.93
257,92616,Rick_Ereth,1.43
258,92616,Dbenitez,4.65
259,92616,Drink_LocalSD,3.75
260,92616,Birmz,2.76
261,92616,letsgodrinking,3.96
262,92616,James_Cody,4.6
263,92616,WDJersey,3.75
264,92616,Nugganooch,3.65
265,92616,DoubleJ,3.85
266,92616,Devinph,3.8
267,97487,Smarty_Pints,3.25
268,97487,SocalKicks,3
269,97487,Piddmeista,3
270,97487,CoolEthan,3
271,125646,MonDak_Joe1953,4.5
272,125646,arr3388,4.79
273,125646,Brian1357,5
274,125646,Bammer21,4.52
275,125646,ford0626,4.66
276,125646,Sloanerb,4.65
277,125646,adipilla8708,5
278,125646,Drhall36,4.5
279,125646,Dutchcraftbeergeek,4.75
280,245263,dcmchew,3.58
281,195387,Darkmagus82,3.85
282,125646,Dloschiavo,4.63
283,125646,TedStrosser,4.75
284,125646,hughesm12,4.88
285,125646,Choppin-Banana,3.98
286,125646,palealeale,4.68
287,125646,thinwhiteduke,4.5
288,125646,Yanzo,4.85
289,125646,Treyliff,4.54
290,125646,mmenard169,4.5
291,125646,Kcoondawg,4.27
292,125646,Preluderl,4.27
293,125646,cmukid87,4.75
294,125646,MaximumYuks,4.52
295,125646,Cpmitchno1,4.32
296,125646,JonB25,4.94
297,125646,MustangPauli,4.67
298,125646,Plissken,4.75
299,125646,bibo_ergo_sum,4.76
300,125646,moltch,4.87
301,125646,arusso13,4.59
302,125646,Eiwatts9,4.5
303,125646,mcsoupman,4.54
304,125646,lonestarstate97,4.25
305,125646,EnthusedAboutBeer,4.68
306,125646,digboy,4.35
307,84394,KevMo84,3.75
308,84394,jsilva,3.25
309,84394,yourefragile,2.5
310,84394,djre4orm,3.5
311,97487,twillingthenoz,4
312,92616,UCLABrewN84,3.65
313,92616,mactrail,3.27
314,346749,egrandfield,4.15
315,346749,robotic_being,4.09
316,346749,pstam87,4.42
317,346749,Guinnsslvr,3.85
318,346749,vande,4.12
319,346749,uncleotis,4.18
320,346749,RobGWS,3.95
321,346749,Bammer21,3.68
322,346749,tastocke,4.36
323,346749,jgunther71,3.75
324,346749,krome,3.75
325,346749,Rimbimhoot,4.25
326,346749,jakea,4
327,58482,MaltyGoodness,4
328,58482,SPRichard,3.82
329,58482,ChainGangGuy,4
330,58482,mikey711,3.64
331,58482,jwc215,3.5
332,58482,GeoffFromSJ,4.42
333,97487,iatethecloudsfor,2.5
334,144464,edhizdeid,4
335,58482,WVbeergeek,5
336,58482,OldSchoolGamer,3.75
337,58482,magnj,4.1
338,58482,NiceGuyMike,3.68
339,58482,fav920,3.95
340,58482,roan22,3.58
341,58482,BirdFlu,3.45
342,58482,BigMike,3.65
343,58482,corby112,3.4
344,64319,metter98,3.35
345,64319,kaelingirl,4
346,64319,ablackard,3.5
347,58482,ColForbinBC,4.03
348,58482,drcarver,4.3
349,58482,vikingloki,3.28
350,58482,Hojaminbag,3.97
351,58482,tempest,3.19
352,58482,woodychandler,4
353,58482,Birdiebeagle,4.25
354,58482,ejimhof,4
355,58482,JoePetto,4.85
356,58482,NJpadreFan,3.48
357,64319,TheBrewsky,3.94
358,64319,BlueSpader,4.05
359,64319,a77cj7,3.5
360,64319,djrn2,3.25
361,64319,MV_CHI-NS,3.59
362,64319,Lovely85,3.75
363,64319,nickfl,3.75
364,64319,Nage37,4.5
365,203086,ovaltine,3.71
366,203086,Texasfan549,3.25
367,64319,beertunes,3.34
368,64319,mhaugo,1.97
369,64319,pauldevay,3.5
370,64319,mactrail,3.35
371,64319,RblWthACoz,3.69
372,64319,hayesjw,4
373,64319,Bnoise11,4
374,64319,kojevergas,2.26
375,64319,wethorseblanket,3.75
376,64319,UCLABrewN84,3.91
377,64319,Wowcoolman,4
378,64319,AApparel,3
379,64319,TGS,1.5
380,64319,StonePhil,3.5
381,64319,womencantsail,3.58
382,203086,Bryan12345,2.75
383,203086,donspublic,3.59
384,203086,greenspointexas,3.39
385,203086,Pro_Magnon,4.02
386,203086,ilikebeer03,3.24
387,203086,Gagnonsux,3.93
388,144464,bcm75,4
389,144464,Dicers,3.53
390,64319,jminsc76,4.3
391,64319,DoubleJ,3.37
392,64319,beagle75,3.77
393,104824,JSBILK,4.75
394,104824,BMart,3.5
395,104824,BrownAleMale,4.25
396,104824,schris,4.5
397,104824,iDrake,4
398,104824,injuredreserve,4.75
399,104824,mklisz,4.25
400,104824,jrhottle,4.75
401,104824,JohnnieNepal,4.5
402,104824,thewimperoo,3.75
403,104824,HopsMatt,4.75
404,104824,TheSevenDuffs,4.5
405,104824,emerge077,4.1
406,104824,Cynic-ale,4.25
407,104824,homebrew311,4.16
408,104824,Hopmarc,4.5
409,104824,tjdemon,4.75
410,104824,Hopheadjeffery,4.25
411,104824,emottram,4.25
412,104824,kif,5
413,104824,JohnnyNicks,5
414,104824,Braden,5
415,104824,badmotorgrunge,5
416,104824,kidzord,5
417,104824,langchops,4.58
418,178980,ajm5108,4.54
419,329435,MTKATL,4.13
420,104824,shredder83,4.5
421,104824,kodt,3.75
422,144464,yergermeister,4
423,203086,champ103,3.35
424,47792,WillieMoe,3.85
425,47792,IBUnit63,3.65
426,141814,waiting4lunch,4.5
427,288531,richj1970,3.85
428,288531,WoodBrew,3.76
429,236247,loganburgh,3.78
430,236247,tommy5,3.9
431,236247,kbarnes9,3.64
432,236247,dtm426,4.31
433,236247,msumike89,3.69
434,236247,midlifec,4.21
435,209991,chill-i-am,3.22
436,209991,rfreed,3.75
437,209991,1971bernat,3
438,209991,DamienI,3.5
439,209991,Asics,4
440,209991,Sound_Explorer,3.71
441,209991,Moose90,3.74
442,106164,aussiebeer,4.5
443,106164,beersdmf17,4
444,106164,foretheloveofbeer,3.75
445,106164,JohnnyNicks,4
446,106164,Inglewood,4
447,106164,MNPikey,4
448,106164,thinwhiteduke,4.25
449,106164,ScottyBonzai,3.75
450,195,Noxious26,4.3
451,195,nfo,3.52
452,195,MrNuggets,5
453,195,JohnfromDublin,3.72
454,195,charlatan,4.04
455,195,misterscooter,3.33
456,2018,SMITHAND,3.75
457,2018,timiskin,4.25
458,2018,biegaman,3.78
459,2018,JohnnyBarman,3.5
460,2018,cre83,3.75
461,2018,RedAleMan,4
462,2018,ColdOneKev,4.5
463,54663,RichH55,4
464,54663,barnzy78,3.5
465,54663,TMoney2591,3.6
466,54663,sweemzander,3.11
467,54663,weeare138,3.1
468,54663,BeerFMAndy,3.97
